Temp_K,Rate_sqrt
272.56,0.037
274.46,0.039
275.76,0.044
277.36,0.053
278.96,0.06
280.56,0.062
281.96,0.067
282.86,0.073
284.06,0.081
284.96,0.082
285.86,0.083
286.76,0.09
287.56,0.097
288.36,0.097
289.36,0.101
289.96,0.106
290.76,0.109
291.66,0.117
292.46,0.118
292.66,0.107
293.06,0.123
293.16,0.114
293.56,0.117
293.96,0.116
294.16,0.117
294.66,0.125
294.96,0.131
295.26,0.132
295.76,0.131
295.96,0.129
296.66,0.131
297.16,0.131
297.46,0.139
298.26,0.14
298.36,0.138
299.16,0.146
299.36,0.147
299.56,0.139
300.36,0.151
300.66,0.147
301.06,0.152
301.66,0.149
301.76,0.152
302.66,0.153
302.96,0.144
303.56,0.154
304.36,0.149
305.26,0.142
306.06,0.127
307.26,0.093
308.56,0.067
